player,rank,age,player_point,tournament_played,next_best
Congsup Congcar,1368T,25,4,6,0
Dax Donders,1368T,21,4,6,0
David Fox,1368T,28,4,6,0
Seong-Gook Oh,1368T,29,4,6,0
Simeon Terziev,1368T,19,4,6,0
Juan Carlos Manuel Aguilar,1373,23,4,6,0
Luis Britto,1374T,28,4,7,0
Iiro Vasa,1374T,19,4,7,0
Vasile Antonescu,1376T,31,4,7,0
Yurii Dzhavakian,1376T,28,4,7,0
Lorenzo Gagliardo,1376T,21,4,7,0
Maximus Jones,1376T,17,4,7,0
Shao-Fan Liu,1376T,25,4,7,0
Mathieu Scaglia,1376T,23,4,7,0
Philip Bachmaier,1382T,25,4,7,0
Ozan Colak,1382T,17,4,7,0
Paras Dahiya,1382T,23,4,7,0
Milen Ianakiev,1382T,26,4,7,0
Justin Boulais,1386,20,4,8,0
Gibril Diarra,1387T,31,4,8,0
Vilius Gaubas,1387T,17,4,8,0
Finn Bass,1389T,22,4,8,0
Lukas Hellum-Lilleengen,1389T,21,4,8,0
Adam Jurajda,1389T,18,4,8,0
Florian Lakat,1389T,26,4,8,0
Stefanos Sakellaridis,1393T,17,4,9,0
Jake Van Emburgh,1393T,23,4,9,0
Wei Qiang Zheng,1393T,25,4,9,0
Joffrey De Schepper,1396T,30,4,9,0
Zachary Eisinga,1396T,22,4,9,0
Pedro Iamachkine,1396T,25,4,9,0
Niklas Johansson,1396T,23,4,9,0
Tom Pisane,1396T,21,4,9,0
Olivier Rojas,1396T,21,4,9,0
Bozo Barun,1402T,20,4,10,0
Nicholas Bybel,1402T,28,4,10,0
Jesse Delaney,1402T,23,4,10,0
Goran Markovic,1402T,26,4,10,0
Gian Marco Ortenzi,1402T,22,4,10,0
Paul Cayre,1407T,26,4,10,0
Alberto Colas Sanchez,1407T,21,4,10,0
Hanyi Liu,1407T,20,4,10,0
Noah Schachter,1407T,22,4,10,0
Chanchai Sookton-eng,1407T,25,4,10,0
Nikolay Vylegzhanin,1407T,21,4,10,0
Alexis Boureau,1413T,25,4,11,0
Keenan Mayo,1413T,21,4,11,0
Kuzey Cekirge,1415T,21,4,11,0
Goncalo Falcao,1415T,34,4,11,0
Aidan Mayo,1415T,18,4,11,0
Hamidreza Nadaf,1415T,29,4,11,0
Suraj R Prabodh,1415T,27,4,11,0
Dominik Recek,1415T,27,4,11,0
Federico Bertuccioli,1421,23,4,12,0
Cameron Green,1422T,25,4,12,0
N Vijay Sundar Prashanth,1422T,35,4,12,0
Karunuday Singh,1422T,31,4,12,0
Daniel Batista,1425T,23,4,13,0
Bogdan Borza,1425T,24,4,13,0
Piotr Grynkowski,1427T,29,4,14,0
Pavel Krainik,1427T,29,4,14,0
Pavel Shumeiko,1427T,21,4,14,0
George Botezan,1430,25,4,15,0
Karlis Ozolins,1431,19,4,16,0
Anis Ghorbel,1432,32,4,16,0
Preston Brown,1433,20,4,19,0
Max Basing,1434T,19,3,1,0
Mao-Xin Gong,1434T,34,3,1,0
Philip Henning,1434T,21,3,1,0
Chris Rodesch,1434T,20,3,1,0
Oliver Tarvet,1434T,18,3,1,0
Yannick Vandenbulcke,1434T,31,3,1,0
Henry Von Der Schulenburg,1434T,22,3,1,0
Robert Cash,1441T,20,3,2,0
Liam Gavrielides,1441T,18,3,2,0
Omar Jasika,1441T,24,3,2,0
Jea Moon Lee,1441T,28,3,2,0
Stylianos Christodoulou,1445T,17,3,2,0
Oleg Dolgosheyev,1445T,31,3,2,0
Kweisi Kenyatte,1445T,22,3,2,0
Roberto Miceli,1445T,19,3,2,0
Alexander Pavlioutchenkov,1445T,36,3,2,0
Alexander Stepin,1445T,26,3,2,0
Ryohei Tagata,1445T,22,3,2,0
Xiaofei Wang,1452,19,3,3,0
Yong-Kyu Lim,1453T,30,3,3,0
Faisal Qamar,1453T,22,3,3,0
Karue Sell,1453T,28,3,3,0
Igor Smilansky,1453T,26,3,3,0
Charlie Camus,1457T,15,3,3,0
Yamato Sueoka,1457T,19,3,3,0
Bharath Nishok Kumaran,1459T,23,3,4,0
Shunsuke Mitsui,1459T,19,3,4,0
Adrian Bodmer,1461T,27,3,4,0
Thomas Bosancic,1461T,21,3,4,0
Francisco Dias,1461T,29,3,4,0
Jarno Jans,1461T,21,3,4,0
Oh-Hee Kwon,1461T,43,3,4,0
Pietro Pampanin,1461T,19,3,4,0
Henrique Rocha,1461T,17,3,4,0
Gabriel Roveri Sidney,1468,24,3,5,0
Egor Novikov,1469T,20,3,5,0
Tim Sandkaulen,1469T,24,3,5,0
Andres Andrade,1471T,23,3,5,0
Oleksandr Bielinskyi,1471T,27,3,5,0
Gabor Borsos,1471T,30,3,5,0
Michael-John Every,1471T,27,3,5,0
Tom Fawcett,1471T,26,3,5,0
Luca Gelhardt,1471T,27,3,5,0
Tom Gentzsch,1471T,18,3,5,0
Alessandro Procopio,1471T,23,3,5,0
Samuel Puskar,1471T,21,3,5,0
Gianni Ross,1471T,23,3,5,0
Michael Zheng,1471T,18,3,5,0
Maxim Zhukov,1471T,17,3,5,0
Kristijan Juhas,1483T,20,3,6,0
Radu Mihai Papoe,1483T,19,3,6,0
Siddharth Vishwakarma,1483T,27,3,6,0
Gonzalo Bueno,1486T,17,3,6,0
Giovanni Calvano,1486T,24,3,6,0
Seon Yong Han,1486T,21,3,6,0
Daniel Ibragimov,1486T,19,3,6,0
Adam Jones,1486T,23,3,6,0
Sheil Kotecha,1486T,21,3,6,0
Mikhail Minakov,1486T,20,3,6,0
Nikolay Nedelchev,1486T,18,3,6,0
Yvo Panak,1486T,26,3,6,0
Joao Eduardo Schiessl,1486T,17,3,6,0
Yaraslav Shyla,1486T,29,3,6,0
Nicolas Uryson,1486T,28,3,6,0
Alexandre Aubriot,1498T,22,3,7,0
Trent Bryde,1498T,22,3,7,0
Jared Hiltzik,1498T,27,3,7,0
Olexiy Kolisnyk,1498T,25,3,7,0
Mili Poljicak,1498T,17,3,7,0
Austin Ansari Ansari,1503T,28,3,7,0
Alessandro Coppini,1503T,23,3,7,0
Marc Dijkhuizen,1503T,25,3,7,0
Juan Pablo Grassi Mazzuchi,1503T,22,3,7,0
Alexander Jhun,1503T,26,3,7,0
Andre Miele,1503T,34,3,7,0
Egor Noskin,1503T,21,3,7,0
Rowland Phillips,1503T,28,3,7,0
Mikal Statham,1503T,34,3,7,0
Max Wiskandt,1503T,20,3,7,0
Grey Hamilton,1513,25,3,8,0
Federico Campana,1514,23,3,8,0
Aron Pierce,1515,25,3,8,0
Stephane Robert,1516,41,3,9,0
Miles Jones,1517T,21,3,9,0
Aleksander Orlikowski,1517T,18,3,9,0
Alan Fernando Rubio Fierros,1517T,23,3,9,0
Domenico Cutuli,1520T,25,3,9,0
Sean Hess,1520T,20,3,9,0
Yuichiro Inui,1520T,26,3,9,0
Martin Katz,1520T,19,3,9,0
Pietro Marino,1520T,20,3,9,0
Tyler Mercier,1520T,30,3,9,0
Hugo Schott,1520T,25,3,9,0
Joshua Sheehy,1520T,25,3,9,0
Aleksandar Tomas,1520T,18,3,9,0
Alejo Vilaro,1520T,26,3,9,0
Tyler Zink,1520T,21,3,9,0
Kunal Anand,1531T,29,3,10,0
Dante Gennaro,1531T,28,3,10,0
Jack Gibbens,1531T,24,3,10,0
Perry Gregg,1531T,21,3,10,0
Leonardo Malgaroli,1531T,19,3,10,0
Anatoliy Petrenko,1531T,26,3,10,0
Li-Wei Tan,1531T,26,3,10,0
Zakhar Trapeznikov,1531T,23,3,10,0
Cengiz Aksu,1539T,23,3,11,0
Amaury Raynel,1539T,19,3,11,0
Sagadat Ayap,1541T,26,3,11,0
Dragos Constantin Ignat,1541T,29,3,11,0
Darko Jandric,1541T,27,3,11,0
Boris Arias,1544T,28,3,12,0
Toby D. Boyer,1544T,25,3,12,0
Maikel De Boes,1544T,19,3,12,0
Mikhail Korovin,1544T,26,3,12,0
Michal Novansky,1544T,19,3,12,0
Pol Wattanakul,1544T,26,3,12,0
Yassir Kilani,1550,21,3,13,0
Adelchi Virgili,1551,31,3,14,0
Karlo Cubelic,1552T,24,3,14,0
Faris Zakaryia,1552T,20,3,14,0
Tim Heger,1554,22,3,15,0
Juan Borba,1555T,25,2,1,0
Kai Breitbach,1555T,24,2,1,0
Hanamichi Carvajal,1555T,19,2,1,0
Rafael Giotis,1555T,21,2,1,0
Yasunori Hashikawa,1555T,23,2,1,0
Yuya Ito,1555T,25,2,1,0
Alex Lawson,1555T,28,2,1,0
Louis Lechevretel,1555T,25,2,1,0
Johannus Monday,1555T,20,2,1,0
Costin Paval,1555T,31,2,1,0
Stefan Seifert,1555T,37,2,1,0
Divij Sharan,1555T,36,2,1,0
Evan Bynoe,1567T,22,2,2,0
Nikola Cacic,1567T,31,2,2,0
Kuan Yu Chen,1567T,21,2,2,0
Henrik Heise Korsgaard,1567T,25,2,2,0
Jack Mingjie Lin,1567T,22,2,2,0
Jurgen Melzer,1567T,40,2,2,0
Lautaro Midon,1567T,17,2,2,0
Luis Molina,1567T,22,2,2,0
Nicaise Muamba,1567T,21,2,2,0
Daniel Munoz de la Nava,1567T,40,2,2,0
Artem Podorozhnyi,1567T,18,2,2,0
Matthew Segura,1567T,21,2,2,0
Farzin Danny Amiri,1579T,26,2,2,0
Demetris Azoides,1579T,21,2,2,0
Manuel Barros,1579T,27,2,2,0
Lohithaksha Bathrinath,1579T,21,2,2,0
Kevin Chahoud,1579T,20,2,2,0
Ahmed Choudhary,1579T,28,2,2,0
Nini Gabriel Dica,1579T,20,2,2,0
Svyatoslav Gulin,1579T,19,2,2,0
John Hallquist Lithen,1579T,20,2,2,0
Carson Haskins,1579T,22,2,2,0
Young-Hoon Jeong,1579T,32,2,2,0
Hayden Jones,1579T,15,2,2,0
Kyle Kang,1579T,17,2,2,0
Christian Lerby,1579T,20,2,2,0
Spencer Papa,1579T,26,2,2,0
Pietro Rimondini,1579T,23,2,2,0
Bastian Trinker,1579T,31,2,2,0
Siim Troost,1579T,22,2,2,0
Logan Zapp,1579T,20,2,2,0
Igor Gimenez,1598T,22,2,3,0
Marcel Kamrowski,1598T,18,2,3,0
Tyler Lu,1598T,26,2,3,0
David Vega Hernandez,1598T,27,2,3,0
Sebastien Boltz,1602T,28,2,3,0
Santiago Bramajo,1602T,21,2,3,0
Filipe Brandao,1602T,30,2,3,0
Lorenzo Brunetti,1602T,26,2,3,0
Pasquale De Giorgio,1602T,22,2,3,0
Alon Elia,1602T,26,2,3,0
Xavier Gabarro,1602T,22,2,3,0
Eric Hadigian,1602T,22,2,3,0
Maximilian Homberg,1602T,19,2,3,0
Chayanon Kaewsuto,1602T,26,2,3,0
Christian Lakoseljac,1602T,23,2,3,0
Raphael Lambling,1602T,21,2,3,0
Joe Misrahi,1602T,18,2,3,0
Brandon Murphy,1602T,21,2,3,0
Michael Quintero,1602T,41,2,3,0
Loic Ratsaratany,1602T,22,2,3,0
Mason Recci,1602T,25,2,3,0
Laelson Rodrigues,1602T,22,2,3,0
Alexandre Rotsaert,1602T,22,2,3,0
Len Schouten,1602T,22,2,3,0
Jakob Sude,1602T,30,2,3,0
Nikolay Sysoev,1602T,17,2,3,0
Warren Wood,1602T,28,2,3,0
Tamaki Yamao,1602T,23,2,3,0
Hunter Heck,1626T,19,2,4,0
Mikolaj Lorens,1626T,20,2,4,0
Charl Morgan,1626T,20,2,4,0
Nico Mostardi,1626T,24,2,4,0
Gerard Planelles Ripoll,1626T,18,2,4,0
Preston Touliatos,1626T,26,2,4,0
Matej Vocel,1626T,24,2,4,0
Edoardo Zanada,1626T,21,2,4,0
Shi Hong Zeng,1626T,24,2,4,0
Daniel Bagnolini,1635T,19,2,4,0
Ameur Ben Hassen,1635T,28,2,4,0
Gleb Blekher,1635T,21,2,4,0
Franco Capalbo,1635T,24,2,4,0
Thiago Cigarran,1635T,21,2,4,0
Jake Delaney,1635T,24,2,4,0
Sebastian Dominko,1635T,18,2,4,0
Bulat Galiev,1635T,24,2,4,0
Mark Havlicek,1635T,18,2,4,0
George Houghton,1635T,23,2,4,0
Joshua Howard-Tripp,1635T,22,2,4,0
Tukhula Jacobs,1635T,27,2,4,0
Arturs Lazdins,1635T,24,2,4,0
Leonardo Lopez Linquet,1635T,20,2,4,0
Kevin Major,1635T,26,2,4,0
Federico Marchetti,1635T,21,2,4,0
Ricardo David Mayagoitia,1635T,27,2,4,0
Matthew Mendez,1635T,26,2,4,0
Vasko Mladenov,1635T,32,2,4,0
Marco Mosciatti,1635T,24,2,4,0
Patrik Nema,1635T,24,2,4,0
Alexandre Peyrot,1635T,27,2,4,0
Petar Pjevcevic,1635T,26,2,4,0
Giovanni Rizzuti,1635T,26,2,4,0
Christian Samuelsson,1635T,26,2,4,0
Artur Shakhnubaryan,1635T,25,2,4,0
Atharva Sharma,1635T,21,2,4,0
Nikola Slavic,1635T,21,2,4,0
Jordan Smith,1635T,25,2,4,0
Gustaf Strom,1635T,20,2,4,0
Olivier Stuart,1635T,24,2,4,0
David Agung Susanto,1635T,30,2,4,0
Joseph Imeh Ubon,1635T,24,2,4,0
Patrick Zahraj,1635T,22,2,4,0
Jack Anthrop,1669T,18,2,5,0
Alexander Hoogmartens,1669T,19,2,5,0
Olaf Pieczkowski,1669T,17,2,5,0
Rigele Te,1669T,24,2,5,0
Leonardo Telles,1669T,26,2,5,0
Juan Ignacio Alcalde,1674T,22,2,5,0
Conor Berg,1674T,30,2,5,0
Cesar Bourgois,1674T,24,2,5,0
Anton Chekhov,1674T,29,2,5,0
Paolo Dagnino,1674T,24,2,5,0
Felipe Derdoy,1674T,25,2,5,0
Allan Deschamps,1674T,20,2,5,0
Franco Feitt,1674T,29,2,5,0
Philip Florig,1674T,18,2,5,0
Luke Jacob Gamble,1674T,26,2,5,0
Andre Gaspar Murta,1674T,27,2,5,0
Michael Gloeckler,1674T,23,2,5,0
Caio Gruber,1674T,21,2,5,0
Jiri Jenicek,1674T,22,2,5,0
Filip Kolasinski,1674T,21,2,5,0
Marc Othman Ktiri,1674T,18,2,5,0
Hugo Largo,1674T,24,2,5,0
Michael Look,1674T,34,2,5,0
Ryuki Matsuda,1674T,22,2,5,0
Alexander Ovcharov,1674T,23,2,5,0
Bradley Paliska,1674T,19,2,5,0
Bogdan Pavel,1674T,22,2,5,0
Neel Rajesh,1674T,21,2,5,0
Federico Salomone,1674T,20,2,5,0
Christian Seraphim,1674T,26,2,5,0
Karan Singh,1674T,18,2,5,0
Yunosuke Tanaka,1674T,23,2,5,0
Vivien Versier,1674T,24,2,5,0
Jing Long Weng,1674T,21,2,5,0
Boris Fassbender,1703T,23,2,6,0
Haoyuan Huang,1703T,19,2,6,0
Rodrigo Echavarria,1705T,25,2,6,0
Oscar Galimardanov,1705T,21,2,6,0
Andrej Glvac,1705T,25,2,6,0
Jake Hersey,1705T,21,2,6,0
Joao Hinsching,1705T,24,2,6,0
Hasan Ibrahim,1705T,26,2,6,0
Timur Khabibulin,1705T,26,2,6,0
Alexander Klintcharov,1705T,25,2,6,0
Giuseppe La Vela,1705T,21,2,6,0
Elmer Moller,1705T,18,2,6,0
Federico Moreno,1705T,27,2,6,0
Petr Nesterov,1705T,19,2,6,0
Ken Onishi,1705T,26,2,6,0
Marco Saffratti,1705T,22,2,6,0
Luca Staeheli,1705T,21,2,6,0
Luis Diego Chavez Villalpando,1720T,26,2,7,0
Milan Drinic,1720T,24,2,7,0
Junior A. Ore,1720T,29,2,7,0
Alexander Boborykin,1723T,25,2,7,0
Nicolas Bruna,1723T,23,2,7,0
Shahar Elbaz,1723T,25,2,7,0
Ondrej Horak,1723T,19,2,7,0
Dong Ju Kim,1723T,19,2,7,0
Lucas Renard,1723T,29,2,7,0
Aaron Schmid,1723T,21,2,7,0
Roland Stuurman,1723T,22,2,7,0
Naoki Takeda,1723T,28,2,7,0
Ranjeet Virali-Murugesan,1723T,36,2,7,0
Facundo Yunis,1723T,19,2,7,0
Lucio Carnevalle,1734T,20,2,8,0
Majed Kilani,1734T,25,2,8,0
Olimjon Nabiev,1734T,19,2,8,0
Shohei Chikami,1737T,23,2,8,0
Amaury Delmas,1737T,23,2,8,0
Scott Duncan,1737T,27,2,8,0
Anthony Genov,1737T,20,2,8,0
Aleksei Khomich,1737T,25,2,8,0
William Ma,1737T,26,2,8,0
Tomohiro Masabayashi,1737T,24,2,8,0
Petr Michnev,1737T,32,2,8,0
Miguel Fernando Pereira,1737T,22,2,8,0
Hugo Pierre,1737T,25,2,8,0
Hillel Rousseau,1737T,26,2,8,0
Mehdi Sadaoui,1737T,18,2,8,0
Afonso Salgado,1737T,24,2,8,0
Davide Tortora,1737T,21,2,8,0
Muthu Aadhitiya Senthilkumar,1751,22,2,9,0
Ivar Jose Aramburu Contreras,1752T,27,2,9,0
Nicolas Bianchi,1752T,25,2,9,0
Alessandro Ceppellini,1752T,25,2,9,0
Jayden Court,1752T,21,2,9,0
Mayeul Darras,1752T,23,2,9,0
Andrea Del Federico,1752T,22,2,9,0
Lior Goldenberg,1752T,22,2,9,0
Mousheg Hovhannisyan,1752T,30,2,9,0
Chad Kissell,1752T,25,2,9,0
Vladislav Melnic,1752T,22,2,9,0
Youcef Rihane,1752T,20,2,9,0
Kent Tagashira,1752T,28,2,9,0
Baran Cengiz,1764T,20,2,10,0
Roi Ginat,1764T,21,2,10,0
Sean Hodkin,1764T,23,2,10,0
Dhruv Sunish,1764T,22,2,10,0
Mike Urbanija,1764T,32,2,10,0
Andres Urrea,1764T,27,2,10,0
Thiemo de Bakker,1770,33,2,11,0
Valentin Vanta,1771,24,2,11,0
Samuel Brosset,1772T,24,2,12,0
Jordan Hasson,1772T,22,2,12,0
Admir Kalender,1772T,21,2,12,0
Juan Pablo Canas Garcia,1775,24,2,14,0
Nicolas Acevedo,1776T,22,1,1,0
Amine Ahouda,1776T,24,1,1,0
Davide Albertoni,1776T,26,1,1,0
Isaac Arturo Arevalo,1776T,22,1,1,0
Bor Artnak,1776T,17,1,1,0
Japheth Anwasiba Bagerbaseh,1776T,28,1,1,0
Nishesh Basavareddy,1776T,16,1,1,0
Gianluca Beghi,1776T,30,1,1,0
Fouad Behbehani,1776T,21,1,1,0
Darwin Blanch,1776T,14,1,1,0
Roman Boychuk,1776T,26,1,1,0
Thomas Braithwaite,1776T,22,1,1,0
Clay Crawford,1776T,27,1,1,0
Andrew Dale,1776T,20,1,1,0
Kamen Damov,1776T,22,1,1,0
Clement Deleersnyder,1776T,20,1,1,0
Alessandro Dragoni,1776T,24,1,1,0
Felix Einig,1776T,,1,1,0
Nicolas Eli,1776T,17,1,1,0
Ron Ellouck,1776T,17,1,1,0
Linus Erhart,1776T,27,1,1,0
Cooper Errey,1776T,16,1,1,0
Lorenzo Favero,1776T,20,1,1,0
Bradley Frye,1776T,21,1,1,0
Carson Gates,1776T,21,1,1,0
Teodor Giusca,1776T,22,1,1,0
Asdrubal Gobernate,1776T,26,1,1,0
Javier Gonzalez,1776T,22,1,1,0
Fabian Hansch Mauritzson,1776T,25,1,1,0
Adam Heinonen,1776T,19,1,1,0
Cameron Henricy Trigolos,1776T,21,1,1,0
Tuur Heuvinck,1776T,24,1,1,0
Samuel Hodor,1776T,25,1,1,0
Michel Hopp,1776T,23,1,1,0
Jeffrey Chuan En Hsu,1776T,24,1,1,0
Matias Iturbe,1776T,20,1,1,0
Yannick Jankovits,1776T,35,1,1,0
Nicholas Jovanovski,1776T,25,1,1,0
Taha Kapadia,1776T,24,1,1,0
Din Karahodza,1776T,19,1,1,0
Karlo Kranic,1776T,22,1,1,0
Kris Krawcewicz,1776T,25,1,1,0
Hayato Kudo,1776T,23,1,1,0
Miguel Mateo Larrea,1776T,16,1,1,0
Alexandar Lazov,1776T,31,1,1,0
Hyung-Chan Lim,1776T,36,1,1,0
Ping Chen Lin,1776T,19,1,1,0
Lucas Luini,1776T,24,1,1,0
Ajay Malik,1776T,19,1,1,0
Daniele Minighini,1776T,17,1,1,0
Lasse Muscheites,1776T,25,1,1,0
Richard Muzaev,1776T,29,1,1,0
Andrej Nedic,1776T,17,1,1,0
Neo Niedner,1776T,18,1,1,0
Viktor Nikitin,1776T,24,1,1,0
Benjamin Niv,1776T,21,1,1,0
Noppadol Noikor,1776T,22,1,1,0
Jakub Novak,1776T,26,1,1,0
Jannik Opitz,1776T,23,1,1,0
Carl Emil Overbeck,1776T,20,1,1,0
Jun Sang Park,1776T,27,1,1,0
Jeson Patrombon,1776T,28,1,1,0
Thomas Pavlekovich Smith,1776T,20,1,1,0
Miguel Perez Pena,1776T,19,1,1,0
Luke Phillips,1776T,23,1,1,0
Alejandro Reguant,1776T,23,1,1,0
Frazier Rengifo,1776T,23,1,1,0
Teun Rozenberg,1776T,18,1,1,0
Lambert Ruland,1776T,18,1,1,0
Toufik Sahtali,1776T,23,1,1,0
Matija Samardzic,1776T,17,1,1,0
Samuel Sanchez,1776T,19,1,1,0
Igor Saveljic,1776T,26,1,1,0
Jakob Schnaitter,1776T,25,1,1,0
Julian Schubert,1776T,22,1,1,0
Pietro Romeo Scomparin,1776T,20,1,1,0
Stefan Simeunovic,1776T,17,1,1,0
Macsen Sisam,1776T,21,1,1,0
Stefan Skadarka,1776T,23,1,1,0
Lakshit Sood,1776T,31,1,1,0
Alessandro Spadola,1776T,19,1,1,0
Wil Spencer,1776T,32,1,1,0
Oleg Stepanenko,1776T,28,1,1,0
Illia Stoliar,1776T,22,1,1,0
Thantub Suksumrarn,1776T,20,1,1,0
Shunrou Takeshima,1776T,31,1,1,0
Shota Tange,1776T,21,1,1,0
Luca George Tatomir,1776T,26,1,1,0
Mateusz Terczynski,1776T,26,1,1,0
Jesse Timmermans,1776T,32,1,1,0
Joe Tyler,1776T,23,1,1,0
Henrique Hamamoto Ushizima,1776T,16,1,1,0
Martin Antonio Vergara Del Puerto,1776T,17,1,1,0
Zack Viiala,1776T,16,1,1,0
Leonard Von Hindte,1776T,27,1,1,0
Stefan Vujic,1776T,23,1,1,0
Olle Wallin,1776T,20,1,1,0
Marcus Walters,1776T,23,1,1,0
Arthur Weber,1776T,29,1,1,0
Ben Weintraub,1776T,18,1,1,0
Phoenix Weir,1776T,16,1,1,0
Jesse Witten,1776T,39,1,1,0
Zhao Zhao,1776T,22,1,1,0
Arsenije Zlatanovic,1776T,32,1,1,0
Mate Zsiga,1776T,29,1,1,0
Simone Agostini,1881T,24,1,2,0
Eric Ahren Moonga,1881T,26,1,2,0
Ran Amar,1881T,22,1,2,0
Benjamin L. Ambrosio,1881T,20,1,2,0
Ofek Amoyal,1881T,22,1,2,0
Robbie Arends,1881T,20,1,2,0
Shay Bar Menahem,1881T,18,1,2,0
Carles Batlle,1881T,21,1,2,0
Romain Bauvy,1881T,27,1,2,0
Aissa Benchakroun,1881T,19,1,2,0
Santiago Besada,1881T,23,1,2,0
Jorge Blanco Guadalupe,1881T,24,1,2,0
Attila Boros,1881T,18,1,2,0
Adrien Bossel,1881T,35,1,2,0
Adam Bronka,1881T,22,1,2,0
Florian Broska,1881T,24,1,2,0
Vuk Budic,1881T,23,1,2,0
Jacob Bullard,1881T,21,1,2,0
Simone Cacciapuoti,1881T,21,1,2,0
Leonardo Catani,1881T,22,1,2,0
Raul Gerardo Centeno Arteaga,1881T,20,1,2,0
Christian Didier Chin,1881T,21,1,2,0
Seung-Ri Choi,1881T,31,1,2,0
Charlelie Cosnet,1881T,19,1,2,0
Tomas Curras Abasolo,1881T,21,1,2,0
Mans Dahlberg,1881T,18,1,2,0
Angel Diaz Jalil,1881T,20,1,2,0
Sylvester Emmanuel,1881T,23,1,2,0
Tom Evans,1881T,20,1,2,0
Luca Fantini,1881T,21,1,2,0
Qun Gao,1881T,28,1,2,0
Agustin Maria Gascia,1881T,25,1,2,0
Arthur Gea,1881T,17,1,2,0
Tomas Gerini,1881T,26,1,2,0
Mohamad Gomaa,1881T,22,1,2,0
Vladyslav Gorodynskyi,1881T,24,1,2,0
Cleeve Harper,1881T,21,1,2,0
Patrik Hartmeier,1881T,25,1,2,0
Carlos Hassey,1881T,22,1,2,0
Benedikt Henning,1881T,24,1,2,0
Louis Herman,1881T,20,1,2,0
Erik Holt-Crossman,1881T,24,1,2,0
David Hough,1881T,24,1,2,0
Emile Hudd,1881T,21,1,2,0
Karim Ibrahim,1881T,18,1,2,0
Davide Innocenti,1881T,22,1,2,0
Stephen Kaldawi,1881T,26,1,2,0
Dmytro Kamynin,1881T,32,1,2,0
Sean Kamyshev,1881T,20,1,2,0
Shahin Khaledan,1881T,31,1,2,0
Benjamin Kittay,1881T,18,1,2,0
Alexis Klegou,1881T,33,1,2,0
Alexander Knight,1881T,25,1,2,0
Veljko Krstic,1881T,18,1,2,0
Younes Lalami Laaroussi,1881T,20,1,2,0
Dominik Langmajer,1881T,22,1,2,0
George Lazarov,1881T,16,1,2,0
Aleksi Lofman,1881T,20,1,2,0
Will Maher,1881T,22,1,2,0
Jonas Maier,1881T,25,1,2,0
Alexander Mannapov,1881T,26,1,2,0
Jordi Mas De Ugarte,1881T,26,1,2,0
Ryotero Matsumura,1881T,25,1,2,0
Jakub Mensik,1881T,16,1,2,0
Rodrigo Nicolas Montes De Oca Murillo,1881T,19,1,2,0
Daniel Mora,1881T,25,1,2,0
Mykhailo Mossur,1881T,18,1,2,0
Antonio Muniz Hidalgo,1881T,22,1,2,0
François Musitelli,1881T,23,1,2,0
Anurag Nenwani,1881T,23,1,2,0
Ignacio Novo,1881T,21,1,2,0
Kosuke Okagaki,1881T,23,1,2,0
Sung Jun Park,1881T,28,1,2,0
Denis Parshutin,1881T,22,1,2,0
Piotr Pawlak,1881T,20,1,2,0
Julien Penzlin,1881T,19,1,2,0
Andreja Petrovic,1881T,22,1,2,0
Samuele Pieri,1881T,20,1,2,0
Karl Poling,1881T,22,1,2,0
Lilian Prod'Homme,1881T,23,1,2,0
Fardeen Qamar,1881T,20,1,2,0
Jean-Jacques Rakotohasy,1881T,27,1,2,0
Josh Reid,1881T,20,1,2,0
Yannik Reuter,1881T,31,1,2,0
Nicolas Rousset,1881T,22,1,2,0
Amador Salazar,1881T,21,1,2,0
Toby Samuel,1881T,19,1,2,0
Rodrigo Sanchez,1881T,30,1,2,0
Yair Sarouk,1881T,20,1,2,0
Markus Schultz,1881T,28,1,2,0
Ivan Sergeyev,1881T,34,1,2,0
Kazuki Shimizu,1881T,22,1,2,0
Shonigmatjon Shofayziyev,1881T,28,1,2,0
Vladan Tadic,1881T,21,1,2,0
Robin Thour,1881T,27,1,2,0
Luka Todorovic,1881T,19,1,2,0
Tiago Torres,1881T,19,1,2,0
Mark Tryakshin,1881T,20,1,2,0
Charles Tzicas,1881T,23,1,2,0
Vadym Ursu,1881T,25,1,2,0
Quinn Vandecasteele,1881T,19,1,2,0
Danylo Veremeychuk,1881T,25,1,2,0
Michael Weindl,1881T,26,1,2,0
Yannick Wunderlich,1881T,18,1,2,0
Kento Yamada,1881T,23,1,2,0
Borys Zgola,1881T,18,1,2,0
Goran Zivotic,1881T,20,1,2,0
Shaheed Alam,1988T,23,1,3,0
Seydina Andre,1988T,18,1,3,0
Nevin Arimilli,1988T,22,1,3,0
Abraham Asaba,1988T,24,1,3,0
Gianluca Ballotta,1988T,18,1,3,0
Samir Banerjee,1988T,18,1,3,0
David Barclay,1988T,31,1,3,0
Haadin Salim Bava,1988T,27,1,3,0
Adrian Mateo Bejenaru,1988T,20,1,3,0
Viacheslav Bielinskyi,1988T,18,1,3,0
Darko Bojanovic,1988T,25,1,3,0
Constant De La Bassetiere,1988T,24,1,3,0
Gerard Escandell Juan,1988T,21,1,3,0
